num_sen,num_ip,hit_ip,rate,hit_A,hit_B,time100,time_avg
46673,100,24,0.24,51,53,12.736048460006714,0.12699981689453124
94715,100,48,0.48,74,68,25.417657613754272,0.25384255409240725
142757,100,73,0.73,86,83,38.77949118614197,0.38742038011550906
190799,100,88,0.88,96,91,49.62512183189392,0.49590124130249025
31990,100,9,0.09,31,38,9.439218521118164,0.09408409595489502
64426,100,36,0.36,57,60,18.84488534927368,0.18813562154769897
96862,100,61,0.61,76,80,28.000407218933105,0.27967544078826906
129298,100,70,0.7,82,84,37.36098337173462,0.3732779574394226
83817,100,41,0.41,61,67,26.051256895065308,0.2601976466178894
168579,100,77,0.77,85,91,51.44216704368591,0.514105679988861
253341,100,93,0.93,97,96,76.94900298118591,0.7691468167304992
338103,100,100,1.0,100,100,102.38565826416016,1.023538088798523
61780,100,30,0.3,58,49,19.11895251274109,0.19087185859680175
125428,100,62,0.62,79,80,37.20277714729309,0.3716952466964722
189076,100,87,0.87,94,91,56.38889932632446,0.5635479497909546
252724,100,95,0.95,98,97,76.2777967453003,0.7623960113525391
61704,100,39,0.39,63,62,18.68606209754944,0.18652794599533082
125148,100,68,0.68,85,80,36.51497292518616,0.3648175621032715
188592,100,93,0.93,99,94,56.10597085952759,0.5607126832008362
252036,100,97,0.97,99,98,74.7092797756195,0.7467226409912109
38973,100,17,0.17,44,40,10.05463695526123,0.10022583484649658
80181,100,44,0.44,68,67,20.52924871444702,0.20494319200515748
121389,100,60,0.6,79,78,30.496938943862915,0.3046365427970886
162597,100,76,0.76,86,90,40.95668435096741,0.40923829555511476
75534,100,42,0.42,64,66,30.193307638168335,0.30147451877593995
153054,100,87,0.87,92,92,45.56034827232361,0.4552562427520752
230574,100,95,0.95,98,97,67.36839032173157,0.6733245944976807
308094,100,98,0.98,99,99,88.27526664733887,0.8824021458625794
40583,100,26,0.26,54,51,10.741536378860474,0.10712715148925782
83831,100,52,0.52,73,72,22.700583457946777,0.22668106079101563
127079,100,65,0.65,81,82,33.829174518585205,0.337945921421051
170327,100,78,0.78,88,89,45.11390924453735,0.4508017635345459
48914,100,25,0.25,46,61,13.127127885818481,0.13097711086273192
99812,100,59,0.59,70,84,26.94132685661316,0.26907289266586304
150710,100,85,0.85,91,92,39.8245313167572,0.397882399559021
201608,100,92,0.92,95,96,53.5245795249939,0.5348861742019654
54681,100,34,0.34,59,58,14.995386362075806,0.14963296175003052
111699,100,67,0.67,81,83,29.672651290893555,0.29638573408126834
168717,100,81,0.81,90,90,48.6892786026001,0.48655460119247435
225735,100,96,0.96,96,100,58.862953424453735,0.5883073854446411
72069,100,40,0.4,65,56,21.070475339889526,0.21036659955978393
145305,100,76,0.76,88,85,41.987969636917114,0.41954742431640624
218541,100,91,0.91,96,95,63.070537090301514,0.6303237152099609
291777,100,95,0.95,97,98,84.99691605567932,0.8496244525909424
9321,100,2,0.02,10,9,2.7790660858154297,0.027496397495269775
18807,100,4,0.04,22,24,5.4448401927948,0.05412994384765625
28293,100,9,0.09,36,35,7.873559474945068,0.07844538450241088
37779,100,14,0.14,40,42,10.569898843765259,0.10537948846817016
63287,100,37,0.37,65,55,18.215048789978027,0.18182135105133057
128363,100,67,0.67,84,80,36.82474493980408,0.36789243459701537
193439,100,90,0.9,96,94,53.823822021484375,0.5378920865058899
258515,100,96,0.96,99,97,70.76678371429443,0.707323260307312
43385,100,17,0.17,43,51,11.859345436096191,0.11829845666885376
88571,100,44,0.44,67,71,23.88400959968567,0.23852678537368774
133757,100,62,0.62,75,84,35.67539834976196,0.35643375635147095
178943,100,75,0.75,85,90,48.03114461898804,0.47995949506759644
49921,100,23,0.23,43,54,14.412832498550415,0.14380751848220824
101737,100,58,0.58,67,86,29.148070335388184,0.29115607500076296
153553,100,88,0.88,94,94,42.76532602310181,0.42731892585754394
205369,100,95,0.95,98,97,58.24189043045044,0.5820720100402832
81957,100,48,0.48,82,63,24.682633876800537,0.24651207208633422
165087,100,86,0.86,97,89,48.57759356498718,0.485438711643219
248217,100,98,0.98,99,99,73.45588707923889,0.7342053461074829
331347,100,99,0.99,100,99,98.48618531227112,0.9844875931739807
28338,100,13,0.13,32,37,8.035878419876099,0.08004096269607544
57408,100,31,0.31,54,54,15.620586633682251,0.15587872505187989
86478,100,48,0.48,68,70,23.426753044128418,0.23391631126403808
115548,100,67,0.67,81,83,31.387608289718628,0.313531711101532
60462,100,39,0.39,65,64,17.5823814868927,0.17549617052078248
122172,100,68,0.68,84,80,35.028221130371094,0.3499434399604797
183882,100,86,0.86,93,92,52.2900812625885,0.5225505781173706
245592,100,91,0.91,96,95,71.06983375549316,0.7103174924850464
